Date	Who	Cake	Job_group	Chocolate	Cheesecake	Berries	Gender	Temperature	Nationality_of_the_cake	Score
22-01-2025	Baker_1	Cinnamon bun cake	TA	no	no	no	Male	3	Swedish	8.41
29-01-2025	Baker_2	Kladdkaka 	NBIS	no	no	no	Male	5	Swedish	6.93
05-02-2025	Baker_3	Pistacchio cheesecake	TA	no	yes	no	Female	8	Italian	8.94
12-02-2025	Baker_4	Zucchini cake	TA	no	no	no	Female	2	USA	7.02
19-02-2025	Baker_5	semmelkladdkaka	PhD student	no	no	no	Female	5	Swedish	8.73
26-02-2025	Baker_6	speckled brownie	TA	yes	no	no	Female	6	USA	8.65
05-03-2025	Baker_7	Drømmekage (danish coffee cake)	PhD student	no	no	no	Male	10	Danish	7.90
12-03-2025	Baker_8	Lemon Cheesecake	TA	no	yes	no	Male	6	Swedish	9.56
19-03-2025	Baker_9	Daim-tårta	TA	yes	no	no	Female	9	Swedish	8.42
26-03-2025	Baker_10	Poppy seed cake	Student	no	no	no	Male	11	German	7.80
02-04-2025	Baker_11	Sockerkaka	TA	yes	no	no	Female	17	Swedish	7.44
16-04-2025	Baker_12	kladdkaka with pistacchio butter and fresh raspberries	PhD student	no	no	yes	Female	19	Swedish	8.26
23-04-2025	Baker_13	Nutella Semifreddo	TA	no	no	yes	Female	14	Swedish	9.28
30-04-2025	Baker_14	Sourdough	PhD student	no	no	no	Female	18	Italian	9.20
07-05-2025	Baker_15	Silvia-kaka	Student	no	no	no	Female	14	Swedish	9.21
14-05-2025	Baker_16	Dutch apple pie	Student	no	no	no	Male	17	Dutch	9.13
21-05-2025	Baker_17	cheesecake	NBIS	no	yes	no	Male	17	Greek	9.41
04-06-2025	Baker_18	key lime pie	TA	no	no	no	Female	21	USA	8.84
18-06-2025	Baker_19	cake w. strawberries?	TA	no	no	yes	Female	21	Swedish	8.72
