Baker1	7	8	7	7	6.5	7	8	8	7	8	8	8	9	8	10
Baker2	8	10	7	9	8	8	8	9	8	8	6	8.5	7	8	
Baker3	8	9	10	8	10	9	7	7	7	9	10				
Baker4	7	7	10	9.5	8	6	8.5	7	7	9	10	8			
Baker5	7	9	10	7	7	9	10	8							
Baker6	8	9	10	7	8	8	10	10	8	9					
Baker7	9	9	9	9	6	10	8	9							
Baker8	10	10	10	10	9.5	10	9	7.5	8	6	8	8			
Baker9	9	7	8	10	8.7	8	9	8	10	8	10	9	10	8.5	
Baker10	9	9	9	7	7.5	7	7	7	8						
Baker11	7	9	9.5	8	8	9	8	10	7	9					
Baker12	10	9	8	6	10	9	7	9	7	9	8	6	10	10	10
Baker13	7	8	8	7	9	7	9	9							
Baker14	8.5	8	8	8.5	7.5	8	8	8.5							
Baker15	10	8	9.5	8	8.5	9	6	10	10	9	10	8	7		
Baker16	9	8	10	8.5	9	10	9	8.5	10	10	9				
Baker17	10	10	9	10	10	10	8	8	10	9.5	7				
Baker18	6	9	8	7	9	5.5	7.5	7.5	6	9	7	7	6		
Baker19	8	7	10	9	9	10	5	9	8	7	9	7			
Baker20	9	8	7	10	8.5	9	9	8	9	8	9	9			
Baker21	7	6													
